,name,email,gender,hired_ago,last_advance_ago,birth_ago,salary,position,has_ps,arrival_mean,arrival_stdv,depart_mean,depart_stdv,license_plate_cnt,work_area,reservation_ratio,giveup_ratio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364
0,Christopher Foster,yhernandez@example.org,False,2219.4832785339645,1155.0167412748804,15517.87410202745,803508.7886049,3,False,7.858175552860323,1.1082873198783754,14.188880549670197,1.7867934076584269,3,3,0.8003504427619608,1.004030686566502,W,W,H,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,H,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,H,W,W,W,W,W,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,H,H,W,W,H,W,W,W,H,W,W,W,W,W,W,H,W,H,W,W,W,W,H,W,W,V,W,W,V,V,V,V,V,W,W,V,V,V,W,V,W,W,V,V,V,V,V,W,W,V,V,V,V,V,W,W,V,V,V,V,V,W,W,V,V,V,H,W,W,W,W,H,V,V,W,W,W,W,H,W,V,W,W,W,W,H,W,H,W,W,W,W,H,W,W,H,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,H,H,W,H,H,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,H,W,W,W,H,W,W,H,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,W,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,H,W,W,W,W,H,W,W,W,W,W,W,H,H,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W
1,Chelsea Nicholson,sean47@example.org,True,2709.0856219890775,975.7933275813449,10744.975790805127,774562.7205237951,3,True,7.389974538056474,1.0589672453305348,19.108776529863967,2.2003515055441754,2,3,0.7388840414018619,0.7495268067850174,W,W,V,W,W,H,H,W,W,W,W,W,H,H,W,W,W,H,W,H,H,W,W,H,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,W,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,H,V,V,W,W,W,V,W,H,V,W,W,V,V,W,H,V,W,W,V,V,V,V,V,W,W,W,W,H,H,V,W,W,V,V,V,V,V,W,W,W,W,H,V,V,W,W,V,V,V,V,V,W,W,V,W,V,V,V,W,W,V,W,H,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,H,W,H,H,W,W,H,W,W,H,H,W,W,W,W,H,H,H,W,W,W,W,W,H,H,W,W,W,W,H,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,H,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,H,W,H,H,W,W,W,W,W,H,H,W
2,Jeffery Brown,qdavis@example.com,False,1813.9487206599194,1234.5576244830913,11605.367029113993,721307.53515585,3,False,7.121645979036143,1.257731511800535,16.613209750289347,1.8856765173211076,3,3,0.7619248052302967,1.0086981003344284,W,W,W,H,W,W,H,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,V,V,V,V,V,W,W,V,V,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,H,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,W,W,W,W,W,W,W,H,V,V,V,W,W,W,H,W,W,W,W,W,H,H,W,H,W,W,W,H,H,W,W,W,W,W,W,H,W,W,H,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,H,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,V,V,V,V,W,W,V,H,W,W,W,W,W,W,H,V,V,V,W,W,V,V,V,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,H,H,W,W,H,H,V,V,V,W,W,V,H,V,V,V,W,W,V,V,V,V,W,W,W,W,H,W,W,H,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,H,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,H,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,W,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,H,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W
3,Thomas Frye,haley04@example.org,True,2525.912408318996,1143.4470439809122,16289.516071368946,1035848.1849666291,2,True,8.900025031895469,0.7545197247806688,15.004617720150941,1.7829123340187316,3,2,0.7674639782167227,1.1182137283029274,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,H,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,H,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,H,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,W,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,V,V,V,V,H,W,W,W,W,W,H,H,W,W,W,V,V,H,H,W,W,W,W,W,H,H,W,W,W,W,V,V,V,W,W,V,V,V,V,V,W,W,V,V,V,H,H,W,W,W,V,V,H,V,W,W,V,V,V,H,V,W,W,V,V,V,V,H,W,W,W,H,V,V,H,W,W,H,W,W,H,H,W,W,W,W,W,V,V,W,W,V,V,W,H,H,W,W,W,W,W,H,H,W,W,H,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,H,W,W,H,H,W,W,W,W,W,H,H,W,W,W,H,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,H,W,W,H,H,W,W,W,W,H,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,H,H,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W
4,Sabrina Nelson,greghess@example.org,True,2425.5744254512774,881.8754094838407,9279.350556133624,741278.9440754658,2,True,7.3701759600046035,0.931406075185559,16.181678580434024,2.0173505452337555,1,1,0.7580595992440801,1.0162184713285587,W,W,W,H,W,W,W,W,W,W,H,H,H,W,W,W,W,H,W,W,H,W,W,W,H,H,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,H,W,W,W,W,W,W,W,W,W,W,W,W,H,W,W,H,W,W,W,H,W,W,H,W,W,W,H,W,W,W,W,W,W,H,W,V,W,W,W,W,V,V,V,W,W,W,H,H,W,W,H,W,W,W,V,V,V,V,W,W,V,H,W,W,W,W,W,H,H,H,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,H,V,V,W,W,V,H,W,W,V,W,W,V,H,W,W,W,W,W,W,H,V,V,V,W,W,V,V,V,V,W,W,W,W,V,V,V,V,W,W,V,V,V,W,H,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,V,W,W,V,V,V,W,W,W,W,W,V,V,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,H,W,H,W,W,W,H,W,W,W,W,W,W,W,W,W,W,W,W,W,H,W,W,H,W,W,W,H,H,W,W,W,W,W,H,H,W,H,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,H,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W
5,Michelle Miller,castanedaamanda@example.com,True,2304.4047813037696,994.7540907399523,13749.184805389623,681027.3611630785,2,False,8.969179277254709,0.7353264691480861,14.352155655777144,2.3281215511433895,3,3,0.7423990930082675,0.9548579620533185,W,W,W,W,H,W,H,W,W,W,W,H,W,H,W,W,W,W,H,W,H,W,W,W,W,H,W,H,W,W,W,W,H,H,H,W,W,W,H,H,W,H,W,W,W,W,H,H,H,W,W,W,W,H,W,H,W,W,W,W,H,W,H,W,W,W,W,H,W,H,W,W,W,W,H,W,H,W,W,W,W,H,H,H,W,W,W,W,H,W,H,W,W,W,W,H,W,H,W,W,W,W,H,W,W,W,W,W,H,H,W,H,W,W,H,W,H,H,H,W,W,W,H,H,W,H,W,W,W,W,H,W,H,W,W,W,W,H,W,H,W,W,W,W,H,W,H,W,W,W,W,H,W,H,W,W,W,W,V,V,V,W,W,W,W,H,W,H,W,W,W,W,H,W,H,W,W,W,W,H,V,V,W,W,V,V,V,V,V,W,W,V,V,H,W,H,W,W,W,W,H,H,V,W,W,V,V,V,V,V,W,W,V,V,V,V,V,W,W,V,W,H,W,H,W,W,W,V,V,V,V,W,W,V,V,V,W,H,W,W,W,W,H,W,H,W,W,W,W,H,W,H,W,W,W,W,H,W,H,W,W,H,W,H,W,H,W,W,H,W,H,W,H,W,W,W,W,H,W,H,W,W,W,W,H,W,H,W,W,W,W,H,W,H,W,W,H,W,H,W,H,W,W,W,W,H,W,H,W,W,W,W,H,W,H,W,W,W,W,H,W,H,W,W,W,W,H,W,H,W,W,W,W,H,W,H,W,W,W,W,H,W,H,W,W,W,W,H,W,H,W,W,W,H,H,W,H,W,W,W,W,H,W,H,W
6,Angela Miller,josetaylor@example.net,True,2855.4544013005616,1040.1918148173386,13433.93656214219,580338.5680100108,2,True,5.948241737015568,1.109148732770123,19.114461339039682,2.0237153044572462,3,1,0.6186402065644543,1.3784647857496746,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,H,H,H,W,W,W,W,W,W,H,W,H,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,H,W,W,W,W,H,H,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,H,W,W,W,W,W,H,W,W,W,W,W,W,H,H,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,V,V,V,V,V,W,W,V,V,V,V,V,W,W,W,W,H,V,V,W,W,V,V,V,V,V,W,W,V,V,V,V,W,W,W,W,W,H,W,W,W,W,W,H,H,W,V,W,W,V,V,H,H,W,W,W,W,W,H,W,W,W,W,V,V,V,V,W,W,W,W,W,H,V,V,W,W,V,V,H,W,W,W,W,W,W,H,H,W,W,W,W,H,H,W,W,W,W,W,W,H,W,W,W,W,W,H,H,W,W,W,W,H,W,H,W,W,W,W,W,W,H,W,W,W,W,W,H,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,H,W,W,W,W,H,W,H,W,W,W,W,H,H,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,H,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,V,W,H,W,W,W,W,H,W,W,W
7,Nicole Miller,matthew07@example.com,False,1848.5954492949993,1088.380298217054,20262.169761628007,655082.908228134,2,False,8.088948010676804,1.1218729540902117,17.780128280727986,2.6053488791071815,3,2,0.8177811324981179,0.9233281707220609,W,W,W,W,H,H,W,W,W,W,H,H,H,W,W,W,W,W,H,H,W,W,W,W,H,H,H,W,W,W,W,H,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,H,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,H,W,W,W,W,H,H,W,W,W,W,W,H,H,H,W,W,W,H,H,H,W,W,W,H,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,V,V,V,W,W,V,V,V,V,W,W,W,H,W,H,H,W,W,W,W,W,H,V,V,W,W,V,V,V,V,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,H,H,H,H,W,W,W,W,H,H,V,W,W,V,V,V,V,V,W,W,V,H,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,V,V,V,V,V,W,W,V,V,H,H,W,W,W,W,W,V,V,V,W,W,V,V,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,H,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,H,W,W,W,W,W,H,V,V,W,W,V,W,H,H,W,W,W,W,W,H,H,W,W
8,Jose Smith,ncochran@example.org,False,2088.2014419193915,979.4682434790958,19797.11005401683,652691.0865863737,2,False,7.463360128961126,1.1130757354093217,18.047416543769486,1.7668025588395464,3,3,0.78520688037456,0.9236458890458642,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,H,W,W,H,W,W,W,H,W,W,H,W,W,H,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,H,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,W,W,W,W,W,W,W,H,W,W,W,H,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,H,W,H,W,W,W,W,V,V,V,W,W,W,V,V,V,H,W,W,W,V,V,V,V,W,W,V,V,V,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,V,W,W,V,V,V,V,V,W,W,V,V,H,W,H,W,W,W,W,W,W,H,W,W,H,V,V,V,H,W,W,W,W,W,W,H,W,W,W,W,W,W,V,W,W,V,V,V,V,H,W,W,W,W,W,W,H,W,W,H,W,W,W,H,W,W,W,W,W,W,H,W,W,W,H,W,W,H,W,W,V,V,V,V,V,W,W,V,W,W,W,H,W,W,W,W,W,W,H,W,W,H,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,H,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W
9,Larry Ferrell,isaiah64@example.net,False,2035.0856769708248,1233.2256918139692,12761.09743244554,855077.3707981057,2,False,7.508570331416773,0.5099319275465708,14.551719487473365,2.3014611644903398,2,3,0.6339632977355619,1.0307130574744732,W,W,H,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,H,W,W,W,W,W,H,W,W,W,W,W,W,H,H,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,W,W,W,W,W,W,W,H,W,W,H,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,H,W,W,W,W,H,H,V,V,W,W,V,V,W,W,W,W,W,H,H,W,W,W,W,W,W,H,W,H,W,W,W,W,H,W,V,V,W,W,W,H,W,W,W,W,W,W,H,W,V,V,W,W,V,V,W,H,W,W,W,V,V,V,W,W,W,W,W,H,V,V,V,W,W,V,V,V,V,V,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,V,V,W,W,V,V,V,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,H,W,W,W,H,H,W,V,W,W,V,V,V,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,H,H,W,W,H,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,H,W,W,W,H,W,W,W,W,W,W,W,H,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,H,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,W,W,W,W,W,H,W,H,W,W
